xmin,ymin,xmax,ymax,name,file,width,height,class,Xcent,Ycent,boxW,boxH
28,55,46,71,with_mask,maksssksksss737,400,226,0,0.0925,0.27876106194690264,0.045,0.07079646017699115
98,62,111,78,with_mask,maksssksksss737,400,226,0,0.26125,0.30973451327433627,0.0325,0.07079646017699115
159,50,193,90,mask_weared_incorrect,maksssksksss737,400,226,1,0.44,0.30973451327433627,0.085,0.17699115044247787
293,59,313,80,with_mask,maksssksksss737,400,226,0,0.7575,0.3075221238938053,0.05,0.09292035398230089
352,51,372,72,with_mask,maksssksksss737,400,226,0,0.905,0.2721238938053097,0.05,0.09292035398230089
228,53,241,73,with_mask,maksssksksss737,400,226,0,0.58625,0.27876106194690264,0.0325,0.08849557522123894
34,153,62,176,with_mask,maksssksksss410,400,267,0,0.12,0.6161048689138576,0.07,0.08614232209737828
88,138,111,163,with_mask,maksssksksss410,400,267,0,0.24875,0.5636704119850188,0.0575,0.09363295880149813
139,207,168,234,with_mask,maksssksksss410,400,267,0,0.38375,0.8258426966292135,0.0725,0.10112359550561797
116,135,135,154,with_mask,maksssksksss410,400,267,0,0.31375,0.5411985018726592,0.0475,0.07116104868913857
135,103,152,121,with_mask,maksssksksss410,400,267,0,0.35875,0.41947565543071164,0.0425,0.06741573033707865
101,91,115,106,mask_weared_incorrect,maksssksksss410,400,267,1,0.27,0.36891385767790263,0.035,0.056179775280898875
58,109,72,127,with_mask,maksssksksss410,400,267,0,0.1625,0.4419475655430712,0.035,0.06741573033707865
56,91,65,103,with_mask,maksssksksss410,400,267,0,0.15125,0.36329588014981273,0.0225,0.0449438202247191
80,81,89,91,with_mask,maksssksksss410,400,267,0,0.21125,0.32209737827715357,0.0225,0.03745318352059925
176,115,202,139,with_mask,maksssksksss410,400,267,0,0.4725,0.4756554307116105,0.065,0.0898876404494382
205,96,221,115,with_mask,maksssksksss410,400,267,0,0.5325,0.3951310861423221,0.04,0.07116104868913857
291,110,324,139,with_mask,maksssksksss410,400,267,0,0.76875,0.46629213483146065,0.0825,0.10861423220973783
366,131,381,154,with_mask,maksssksksss410,400,267,0,0.93375,0.5337078651685393,0.0375,0.08614232209737828
246,87,255,105,with_mask,maksssksksss410,400,267,0,0.62625,0.3595505617977528,0.0225,0.06741573033707865
217,62,231,78,with_mask,maksssksksss410,400,267,0,0.56,0.26217228464419473,0.035,0.0599250936329588
180,56,192,68,with_mask,maksssksksss410,400,267,0,0.465,0.23220973782771537,0.03,0.0449438202247191
121,63,130,76,with_mask,maksssksksss410,400,267,0,0.31375,0.2602996254681648,0.0225,0.04868913857677903
34,83,42,99,with_mask,maksssksksss410,400,267,0,0.095,0.3408239700374532,0.02,0.0599250936329588
26,70,34,82,with_mask,maksssksksss410,400,267,0,0.075,0.2846441947565543,0.02,0.0449438202247191
55,60,67,74,with_mask,maksssksksss410,400,267,0,0.1525,0.250936329588015,0.03,0.052434456928838954
87,53,95,62,with_mask,maksssksksss410,400,267,0,0.2275,0.2153558052434457,0.02,0.033707865168539325
95,177,195,295,without_mask,maksssksksss537,301,400,2,0.48172757475083056,0.59,0.33222591362126247,0.295
92,76,168,162,with_mask,maksssksksss295,267,400,0,0.4868913857677903,0.2975,0.2846441947565543,0.215
31,109,93,161,with_mask,maksssksksss771,400,267,0,0.155,0.5056179775280899,0.155,0.1947565543071161
83,43,119,86,with_mask,maksssksksss771,400,267,0,0.2525,0.24157303370786518,0.09,0.16104868913857678
140,70,195,128,with_mask,maksssksksss771,400,267,0,0.41875,0.3707865168539326,0.1375,0.21722846441947566
280,77,366,165,with_mask,maksssksksss771,400,267,0,0.8075,0.45318352059925093,0.215,0.3295880149812734
360,10,394,46,with_mask,maksssksksss771,400,267,0,0.9425,0.10486891385767791,0.085,0.1348314606741573
175,40,220,86,with_mask,maksssksksss234,400,225,0,0.49375,0.28,0.1125,0.20444444444444446
112,101,123,112,with_mask,maksssksksss234,400,225,0,0.29375,0.47333333333333333,0.0275,0.04888888888888889
3,72,12,89,with_mask,maksssksksss234,400,225,0,0.01875,0.35777777777777775,0.0225,0.07555555555555556
388,122,400,133,with_mask,maksssksksss234,400,225,0,0.985,0.5666666666666667,0.03,0.04888888888888889
341,125,352,136,with_mask,maksssksksss234,400,225,0,0.86625,0.58,0.0275,0.04888888888888889
72,76,102,105,with_mask,maksssksksss620,400,267,0,0.2175,0.3389513108614232,0.075,0.10861423220973783
140,68,167,95,with_mask,maksssksksss620,400,267,0,0.38375,0.3052434456928839,0.0675,0.10112359550561797
215,69,238,94,with_mask,maksssksksss620,400,267,0,0.56625,0.3052434456928839,0.0575,0.09363295880149813
304,144,315,156,with_mask,maksssksksss620,400,267,0,0.77375,0.5617977528089888,0.0275,0.0449438202247191
320,125,334,140,without_mask,maksssksksss620,400,267,2,0.8175,0.49625468164794007,0.035,0.056179775280898875
363,126,385,147,without_mask,maksssksksss620,400,267,2,0.935,0.5112359550561798,0.055,0.07865168539325842
18,117,45,145,without_mask,maksssksksss70,400,225,2,0.07875,0.5822222222222222,0.0675,0.12444444444444444
62,120,85,143,without_mask,maksssksksss70,400,225,2,0.18375,0.5844444444444444,0.0575,0.10222222222222223
96,128,120,157,without_mask,maksssksksss70,400,225,2,0.27,0.6333333333333333,0.06,0.1288888888888889
152,71,203,126,with_mask,maksssksksss70,400,225,0,0.44375,0.43777777777777777,0.1275,0.24444444444444444
326,117,353,144,with_mask,maksssksksss70,400,225,0,0.84875,0.58,0.0675,0.12
98,204,195,329,with_mask,maksssksksss281,301,400,0,0.4867109634551495,0.66625,0.3222591362126246,0.3125
44,88,161,206,with_mask,maksssksksss393,400,400,0,0.25625,0.3675,0.2925,0.295
241,261,365,390,with_mask,maksssksksss393,400,400,0,0.7575,0.81375,0.31,0.3225
42,88,68,112,without_mask,maksssksksss296,400,226,2,0.1375,0.4424778761061947,0.065,0.10619469026548672
46,59,69,78,without_mask,maksssksksss296,400,226,2,0.14375,0.3030973451327434,0.0575,0.084070796460177
77,56,97,72,with_mask,maksssksksss296,400,226,0,0.2175,0.2831858407079646,0.05,0.07079646017699115
